Date,System Price,Total Vol,NO Buy Vol,NO Sell Vol,SE Buy Vol,SE Sell Vol,DK Buy Vol,DK Sell Vol,FI Buy Vol,FI Sell Vol,Nordic Buy Vol,Nordic Sell Vol,Baltic Buy Vol,Baltic Sell Vol,T Nor,NO Hydro Dev,SE Hydro Dev,FI Hydro Dev,Total Hydro Dev,NO Hydro,SE Hydro,FI Hydro,Total Hydro,Week,Month,Season,Weekday,Weekend,Wind DK,Temp Hamar,Temp Krsand,Temp Namsos,Temp Troms,Temp Bergen,Temp Norway,Supply,Demand,Oil,Coal,Gas,Low Carbon,APX,OMEL,EEX,Wind SE,Wind Prod,Prec Norway,Prec Norway 7,Curve Demand,Holiday,Snow Norway
2014-01-01,28.25,884300,340886,299489,355291,408669,58534.4,101167,134389,98827.4,889099,908152,42944.1,23891.8,4.4,-1803.51,1589.92,209.37,-4.24,54821.7,21822.1,3736.57,80380.4,1,1,1,3,0,46140,2.7,6,2.9,-4,6,4.4,1.07651e+06,1.11797e+06,81.12,59.71,28.11,100.32,41.48,12.86,17.38,93454.6,139595,101.2,981.4,884300,1,45.0983
2014-01-02,29.89,1.02091e+06,378381,373477,395229,449284,84394.1,93826.9,152884,107438,1.01089e+06,1.02403e+06,47289.7,34152.2,3.18,-1767.06,1614.65,222.12,69.67,54633.6,21742.7,3742.86,80119.1,1,1,1,4,0,61848,1.7,6.4,4.2,-4,7.6,3.18,1.24537e+06,1.22993e+06,78.91,59.12,27.59,99.4,51,26.53,27.93,125271,187119,91.5,934,1.02091e+06,0,47.4215
2014-01-03,29.3,999570,370183,351857,390348,442626,76113.8,101328,151959,107010,988604,1.00282e+06,55180.8,40963,3.82,-1734.1,1639.13,234.67,139.74,54445.4,21663.3,3749.14,79857.9,1,1,1,5,0,62126,2,6.7,4.8,-1.5,7.1,3.82,1.22996e+06,1.23158e+06,78.4,58.31,27.5,99.95,51.08,40.45,27.71,125834,187960,242,728.4,999570,0,49.5863
2014-01-04,27.96,933224,347920,332070,362855,419280,66868.5,86929.5,144882,102373,922525,940653,48741,30613.1,3.78,-1701.14,1663.59,247.23,209.7,54257.3,21583.9,3755.43,79596.6,1,1,1,6,1,64573,3.5,6.6,4.7,-2.2,6.3,3.78,1.18011e+06,1.16127e+06,78.42,58.42,27.5,99.85,50.67,31.62,25.86,130790,195363,223.4,529,933224,0,48.4212
2014-01-05,29.05,951251,349025,367521,380999,421858,74217.6,73429.9,142502,102470,946744,965280,48783.8,30247.5,3.32,-1663.57,1688.06,259.97,284.47,54069.1,21504.4,3761.71,79335.3,1,1,1,7,1,31325,2.9,5.7,3.5,-1.9,6.4,3.32,1.13863e+06,1.14003e+06,78.44,58.52,27.5,99.76,50.26,22.8,24.01,63447.5,94772.5,75.5,495.9,951251,0,48.1532
2014-01-06,28.19,961145,382402,342777,370852,427429,72326.2,113921,140261,101000,965842,985128,54456.5,35170.1,3.22,-1623.55,1713.51,273.39,363.34,53881,21425,3768,79074,2,1,1,1,0,72747,1.9,6.5,4.4,-3.2,6.5,3.22,1.20897e+06,1.22477e+06,78.47,58.63,27.5,99.66,49.84,13.97,22.17,147346,220093,98.2,405.6,961145,0,49.6186
2014-01-07,29.16,1.0379e+06,381550,383386,404347,442532,82848.9,100860,158790,116062,1.02754e+06,1.04284e+06,54583.1,39279.4,3.78,-1751.77,1669.66,274.04,191.93,53480.3,21257.9,3758.86,78497,2,1,1,2,0,82434,5.3,7.6,3,-4.7,7.7,3.78,1.27156e+06,1.24631e+06,78.7,58.35,27.46,100.47,48.59,47.89,27.52,166967,249401,159.3,300.3,1.0379e+06,0,48.5641
2014-01-08,29.36,1.04899e+06,386373,389696,402298,450712,85760.4,92894.7,157399,117472,1.03183e+06,1.05078e+06,57520.9,38576.5,1.8,-1861.78,1632.48,275.24,45.97,53079.6,21090.7,3749.71,77920,2,1,1,3,0,73103,2.1,7.4,-1.3,-6.4,7.2,1.8,1.27734e+06,1.24823e+06,78.82,60.25,27.47,100.48,49.98,41.21,33.49,148067,221170,91.5,224.9,1.04899e+06,0,47.7945
2014-01-09,29.72,1.04998e+06,393550,405291,408717,447588,80545.4,89579.4,158362,117191,1.04117e+06,1.05965e+06,52833.3,34358.1,-0.96,-1931.36,1598.77,277.73,-54.87,52678.9,20923.6,3740.57,77343,2,1,1,4,0,62921,0.4,5.5,-2.6,-12.2,4.1,-0.96,1.3007e+06,1.28736e+06,78.16,61.71,27.47,100.11,49.99,49.02,31.13,127444,190365,44.1,247.9,1.04998e+06,0,48.1114
2014-01-10,30.17,1.07753e+06,406219,410900,422025,461532,79796.7,96320.1,162305,111272,1.07035e+06,1.08002e+06,53238.7,43561.4,-3.08,-2005.84,1567.29,280.8,-157.76,52278.1,20756.4,3731.43,76766,2,1,1,5,0,71808,-0.1,3.8,-8,-13.9,2.8,-3.08,1.36268e+06,1.336e+06,78.94,61.53,27.41,100.58,56.19,56.2,28.31,145444,217252,36.4,294.3,1.07753e+06,0,48.8216
2014-01-11,29.82,1.05685e+06,397779,392735,409704,455431,74279.5,93257.7,160161,117153,1.04192e+06,1.05858e+06,52140.8,35488.2,-4.32,-2080.3,1535.8,283.86,-260.64,51877.4,20589.3,3722.29,76189,2,1,1,6,1,65004,-7.1,4.9,-10,-12.3,2.9,-4.32,1.29036e+06,1.27433e+06,78.68,61.5,27.38,100.63,55.93,50.41,32.86,131663,196667,24,334.1,1.05685e+06,0,50.3163
2014-01-12,30.4,1.06477e+06,407855,406579,423122,458774,71387.9,97202,161463,116363,1.06383e+06,1.07892e+06,48630.7,33540.6,-7.04,-2150.19,1505.79,287.77,-356.6,51476.7,20422.1,3713.14,75612,2,1,1,7,1,60680,-12.4,2.4,-13.5,-10.2,-1.5,-7.04,1.31631e+06,1.31801e+06,78.43,61.47,27.35,100.68,55.68,44.62,37.4,122905,183585,42.4,319.8,1.06477e+06,0,51.6008
2014-01-13,39.16,1.28675e+06,457750,522195,525958,528168,103509,97310.7,192188,135295,1.2794e+06,1.28297e+06,53015.3,49451.1,-7.96,-2200.67,1485.04,292.37,-423.27,51076,20255,3704,75035,3,1,1,1,0,48078,-16.1,-2.4,-11.7,-8,-1.6,-7.96,1.54962e+06,1.52149e+06,78.18,61.45,27.32,100.73,55.43,38.82,41.94,97380,145458,7.9,322.6,1.28675e+06,0,52.3681
2014-01-14,41.65,1.27964e+06,464397,536210,490629,518284,116367,78317.4,191145,138149,1.26254e+06,1.27096e+06,54630.5,46206.6,-5.32,-2247.86,1445.24,291.47,-511.14,50690.4,20071.7,3687.86,74450,3,1,1,2,0,7364,-9.4,-2.8,-7.2,-7.4,0.2,-5.32,1.54981e+06,1.51628e+06,77.84,61.32,27.24,101.02,54.33,37.67,49.35,14915.5,22279.5,54,273.2,1.27964e+06,0,54.7727
2014-01-15,41.6,1.28007e+06,468101,541061,501746,505621,105161,90229,193206,139909,1.26821e+06,1.27682e+06,56279.4,47673.6,-5,-2283.94,1409,291.83,-583.1,50304.9,19888.4,3671.71,73865,3,1,1,3,0,40358,-7.1,-1.7,-7.4,-9.5,0.7,-5,1.54062e+06,1.50352e+06,78.74,62.03,27.16,101.93,54.43,49.86,45.69,81743.4,122101,16.1,261.8,1.28007e+06,0,56.0744
2014-01-16,32.53,1.23986e+06,454649,480962,485674,496516,86644.5,112398,191528,140293,1.2185e+06,1.23017e+06,58353.7,46680.3,-3.3,-2328.32,1368.98,291.81,-667.51,49919.3,19705.1,3655.57,73280,3,1,1,4,0,85056,-6.1,2.8,-5.2,-11.5,3.5,-3.3,1.53136e+06,1.50484e+06,78.76,62.15,27.13,101.78,56.15,41.78,40.75,172277,257333,67.1,212.4,1.23986e+06,0,59.7029
2014-01-17,34.21,1.24656e+06,456720,495274,479809,512941,99566.5,91622.2,195228,138973,1.23132e+06,1.23881e+06,59183,51697.1,-4.34,-2370.96,1326.67,292.31,-751.99,49533.7,19521.9,3639.43,72695,3,1,1,5,0,60346,-7,0.8,-6.7,-10.6,1.8,-4.34,1.55835e+06,1.52028e+06,78.39,62.1,27.09,102.13,51.27,40.71,39.58,122228,182574,82.8,157.8,1.24656e+06,0,63.462
2014-01-18,30.9,1.14276e+06,438074,423487,438026,476210,69565.8,109215,181393,133789,1.12706e+06,1.1427e+06,54723.4,39080.4,-3.54,-2413.59,1284.37,292.8,-836.43,49148.1,19338.6,3623.29,72110,3,1,1,6,1,79190,-7,0.4,-6.1,-7.4,2.4,-3.54,1.44308e+06,1.42571e+06,78.39,62.04,27.08,102.1,53.89,39.74,42.56,160396,239586,63.8,117.3,1.14276e+06,0,65.7219
